feature,score,min,max,n_null,n_gt1w
x_80,560,0,1,0,0
x_2,241,0,0.999991523,0,0
x_95,187,-99,1,2714,0
x_52,174,-99,15,128,0
x_81,149,-99,1,146,0
x_93,148,-99,1,10761,0
x_40,132,-99,10,128,0
x_1,124,0,0.895833333,0,0
x_157,110,-99,11,5936,0
x_58,98,-99,10,149,0
x_72,97,-99,10,128,0
x_63,95,-99,5,128,0
x_43,93,-99,10,128,0
x_97,87,-99,3,149,0
x_19,79,-99,15,7689,0
x_45,74,-99,10,128,0
x_29,73,-99,25,7689,0
x_62,73,-99,5,128,0
x_42,70,-99,15,128,0
x_64,70,-99,10,128,0
x_56,69,-99,15,128,0
x_61,68,-99,5,128,0
x_47,66,-99,15,128,0
x_142,64,-99,2,9976,0
x_54,63,-99,15,128,0
x_140,62,-99,2,9647,0
x_41,60,-99,15,128,0
x_7,60,-99,10,7689,0
x_8,60,-99,9,7689,0
x_154,58,-99,3,77,0
x_24,57,-99,71,7345,0
x_14,57,-99,31,7345,0
x_68,50,-99,10,128,0
x_35,49,-99,78,7345,0
x_79,49,-99,9,128,0
x_30,48,-99,16,7689,0
x_51,48,-99,15,128,0
x_82,48,-99,5,46,0
x_46,47,-99,10,128,0
x_59,47,-99,10,128,0
x_83,47,-99,10,46,0
x_84,45,-99,16,46,0
x_50,45,-99,10,128,0
x_55,43,-99,15,128,0
x_66,42,-99,10,128,0
x_48,41,-99,10,149,0
x_60,41,-99,10,128,0
x_156,41,-99,3,894,0
x_36,40,-99,40,7345,0
x_69,39,-99,10,128,0
x_86,39,-99,10,46,0
x_13,37,-99,52,7345,0
x_88,37,-99,15,46,0
x_44,37,-99,10,128,0
x_78,37,-99,8,149,0
x_57,31,-99,15,128,0
x_20,31,-99,12,7689,0
x_65,30,-99,10,128,0
x_53,28,-99,15,128,0
x_91,28,-99,5,677,0
x_99,27,-99,2,149,0
x_38,26,-99,40,7345,0
x_67,25,-99,10,128,0
x_39,24,-99,10,128,0
x_87,21,-99,6,46,0
x_141,17,-99,6,9652,0
x_73,16,-99,7,128,0
x_85,15,-99,6,46,0
x_144,15,-99,3,46,0
x_150,13,-99,4,46,0
x_155,13,-99,3,77,0
x_4,11,-99,6,7689,0
x_10,11,-99,6,7345,0
x_9,11,-99,5,7345,0
x_27,11,-99,4,7689,0
x_96,10,1,2,0,0
x_49,10,-99,4,128,0
x_153,10,-99,3,475,0
x_90,10,-99,3,77,0
x_22,9,-99,6,7345,0
x_3,7,-99,5,7689,0
x_16,6,-99,8,7689,0
x_5,6,-99,3,7689,0
x_26,5,-99,8,7689,0
x_75,5,-99,8,128,0
x_122,5,-99,2,14980,0
x_32,4,-99,9,7345,0
x_70,4,-99,9,128,0
x_121,4,-99,2,14977,0
x_71,3,-99,7,128,0
x_98,3,-99,3,149,0
x_143,3,-99,2,46,0
x_74,2,-99,10,128,0
x_21,2,-99,6,7345,0
x_37,2,-99,4,7345,0
x_149,2,-99,4,46,0
x_139,2,-99,2,5,0
x_77,1,-99,10,128,0
x_76,1,-99,10,128,0
x_31,1,-99,6,7345,0
x_33,1,-99,5,7345,0
x_11,1,-99,4,7345,0
x_136,1,-99,2,14993,0
x_105,1,-99,2,14971,0
x_100,1,-99,2,149,0
x_145,1,-99,2,46,0
